,x,v,a,u,t
0,1317.3438,0.0,0.0,88.912735,0.0
1,1292.3438,1999.9999,0.0,20.438766,0.0010001220852154805
2,1294.3438,1999.9999,26999996.0,2137.0,0.002000244170430961
3,1352.3438,57999.996,55999990.0,2137.0,0.0030003662556464415
4,1413.3438,60999.996,2999999.8,2137.0,0.004000488340861922
5,1520.3438,106999.99,45999996.0,2137.0,0.0050006104260774025
6,1582.3438,61999.996,-44999996.0,2137.0,0.006000732511292883
7,1617.3438,35000.0,-26999996.0,2137.0,0.0070008545965083635
8,1628.3438,10999.999,-23999998.0,2137.0,0.008000976681723844
9,1640.3438,11999.999,999999.9,2137.0,0.009001098766939324
10,1610.3438,-29999.998,-41999996.0,2137.0,0.010001220852154805
11,1610.3438,0.0,29999996.0,2137.0,0.011001342937370286
12,1633.3438,22999.998,22999998.0,2137.0,0.012001465022585766
13,1710.3438,77000.0,53999990.0,2137.0,0.013001587107801246
14,1808.3438,97999.99,20999998.0,2137.0,0.014001709193016727
15,1917.3438,108999.99,10999999.0,2137.0,0.015001831278232208
16,1982.3438,64999.996,-43999996.0,2137.0,0.016001953363447688
17,2028.3438,45999.996,-18999998.0,2137.0,0.017002075448663168
18,2043.3438,14999.999,-30999996.0,2137.0,0.018002197533878647
19,2064.3438,20999.998,5999999.5,2137.0,0.01900231961909413
20,2111.3438,46999.996,25999998.0,2137.0,0.02000244170430961
21,2218.3438,106999.99,59999990.0,2137.0,0.02100256378952509
22,2362.3438,144000.0,36999996.0,2137.0,0.022002685874740573
23,2528.3438,165999.98,21999998.0,2137.0,0.023002807959956052
24,2686.3438,158000.0,-7999999.0,2137.0,0.024002930045171532
25,2835.3438,149000.0,-8999999.0,2137.0,0.02500305213038701
26,2954.3438,118999.99,-29999996.0,2137.0,0.02600317421560249
27,3040.3438,85999.99,-32999996.0,2137.0,0.027003296300817974
28,3077.3438,37000.0,-48999996.0,2137.0,0.028003418386033454
29,3161.3438,83999.99,46999996.0,2137.0,0.029003540471248934
30,3271.3438,109999.99,25999998.0,2137.0,0.030003662556464417
31,3366.3438,94999.99,-14999998.0,2137.0,0.031003784641679896
